line,id,speaker,text,ami_label,link,relationship,api_labels,topic,entities
1,0,Programmer,hello,BE-POSITIVE,,,,,
2,1,Apiza,Hello!,BE-POSITIVE,,,,,
2,2,Apiza,How may I help you?,ELICIT-OFFER-OR-SUGGESTION,,,,,
2,3,Apiza,I am Apiza. ,INFORM,,,,,
3,4,Programmer,When was libssh Version 1.x released?,ELICIT-INFORM,,,environment,libssh,
4,5,Apiza,"Hmm, I don't know about that,",INFORM,4,NEG,,,
4,6,Apiza,sorry! ,BE-POSITIVE,5,CONT,,,
4,7,Apiza,Is there anything else I can do?,OFFER,6,FOL,,,
5,8,Programmer,How do I create a new ssh_session?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
6,9,Apiza,"The function ""ssh_session ssh_new(void)"" should create a new ssh_session.",SUGGEST,8,POS,basic,ssh_new ssh_session,
7,10,Programmer,How to I free a ssh session?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,ssh_session,
8,11,Apiza,"Try using the function ""void ssh_free (ssh_session session)""",SUGGEST,10,POS,patterns basic,ssh_free,
9,12,Programmer,How do I connect to an IP and port?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
10,13,Apiza,"To connect, I\'d reccomend using ""int ssh_connect(ssh_session session)"".",SUGGEST,12,POS,patterns basic,ssh_connect,
10,14,Apiza," It looks like you can set an IP and Port using \n""int ssh_options_set(ssh_session session,\nenum ssh_options_e type,\nconst void * value \n)""",SUGGEST,12,POS,patterns basic,ssh_options_set,
11,15,Programmer,What is the return value of ssh_options_set?,ELICIT-INFORM,14,FOL,functionality,ssh_options_set,
12,16,Apiza,"ssh_options_set returns an int: ""0 on success, &lt; 0 on error.""",INFORM,15,POS,functionality basic,ssh_options_set,
13,17,Programmer,How do I get an SSH error message?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
14,18,Apiza,"The function ""const char* ssh_get_error(void * error)"".",INFORM,17,POS,basic,ssh_get_error,
14,19,Apiza,"This should return ""A static string describing the error.""",SUGGEST,18,CONT,patterns,ssh_get_error,
15,20,Programmer,How do I pass the SSH password?,ELICIT-OFFER-OR-SUGGESTION,,,patterns,,
16,21,Apiza,"The function ssh_options_set takes an enum ""type"" as a parameter.",INFORM,20,POS,functionality,ssh_options_set,
16,22,Apiza," One value for ""type"" is ""SSH_OPTIONS_PASSWORD_AUTH"": ""Set it if password authentication should be used in ssh_userauth_auto_pubkey(). (int, 0=false). Currently without effect (ssh_userauth_auto_pubkey doesn\'t use password authentication).""",INFORM,21,CONT,patterns functionality,ssh_options_set,
17,23,Programmer,What are the possible states of ssh_is_server_known,ELICIT-INFORM,,,functionality,ssh_is_server_known,
18,24,Apiza,"The function int ssh_is_server_known (ssh_session session) returns an int, but it is deprecated.",INFORM,23,PART,environment basic,ssh_is_server_known,
19,25,Programmer,What is the alternative to ssh_is_server_known?,ELICIT-INFORM,24,FOL,structure,ssh_is_server_known,
20,26,Apiza,"The best alternative would be ""ssh_session_is_known_server()"",",SUGGEST,25,PART,structure,ssh_session_is_known_server,
20,27,Apiza, but I can\'t find much information about that.,INFORM,26,CONT,,ssh_session_is_known_server,
21,28,Programmer,What parameters does ssh_session_is_known_server take?,ELICIT-INFORM,26,FOL,basic,ssh_session_is_known_server,
22,29,Apiza,"ssh_session_is_known_server takes an ""ssh_session"" as a parameter.",INFORM,28,POS,basic,ssh_session_is_known_server,
23,30,Programmer,What does ssh_session_is_known_server return?,ELICIT-INFORM,26,FOL,basic,ssh_session_is_known_server,
24,31,Apiza,"""ssh_session_is_known_server()"" returns an int describing the state of the server.",INFORM,30,POS,basic,ssh_session_is_known_server,
25,32,Programmer,What values can ssh_session_is_known_server return?,ELICIT-INFORM,31,FOL,functionality,ssh_session_is_known_server,
26,33,Apiza,It looks like these are all of the different values:\n\n,INFORM,32,POS,functionality,ssh_session,
26,34,Apiza,/* These are the different states a SSH session can be into its life */\n enum ssh_session_state_e {\n,INFORM,33,CONT,functionality structure,ssh_session,
26,35,Apiza,"  SSH_SESSION_STATE_NONE=0,\n SSH_SESSION_STATE_CONNECTING,\n SSH_SESSION_STATE_SOCKET_CONNECTED,\n SSH_SESSION_STATE_BANNER_RECEIVED,\n SSH_SESSION_STATE_INITIAL_KEX,\n SSH_SESSION_STATE_KEXINIT_RECEIVED,\n SSH_SESSION_STATE_DH,\n SSH_SESSION_STATE_AUTHENTICATING,\n SSH_SESSION_STATE_AUTHENTICATED,\n SSH_SESSION_STATE_ERROR,\n SSH_SESSION_STATE_DISCONNECTED\n };",INFORM,34,CONT,functionality structure,ssh_session,
27,36,Programmer,Which header file is ssh_session_is_known_server in?,ELICIT-INFORM,26,FOL,structure,ssh_session_is_known_server,
28,37,Apiza,"I'm sorry,",BE-POSITIVE,36,NEG,,,
28,38,Apiza,I can't help you with that. ,INFORM,37,CONT,,,
28,39,Apiza,Is there anything else I can answer?,OFFER,38,FOL,,,
29,40,Programmer,Where is ssh_session_is_known_server defined?,ELICIT-INFORM,36,REP,structure,ssh_session_is_known_server,
30,41,Apiza,"I'm sorry,",BE-POSITIVE,40,NEG,,,
30,42,Apiza,I can't help you with that. ,INFORM,41,CONT,,,
30,43,Apiza,Is there anything else I can answer?,OFFER,42,FOL,,,
31,44,Programmer,What values can ssh_is_server_known return?,ELICIT-INFORM,24,FOL,functionality,ssh_is_server_known,
32,45,Apiza,ssh_is_server_known returns an int.,INFORM,44,POS, basic,ssh_is_server_known,
32,46,Apiza,"The value of this int can be SSH_SERVER_KNOWN_OK, SSH_SERVER_KNOWN_CHANGED, SSH_SERVER_FOUND_OTHER, SSH_SERVER_FILE_NOT_FOUND, or SSH_SERVER_NOT_KNOWN.",INFORM,45,CONT,functionality,ssh_is_server_known,
33,47,Programmer,What does SSH_SERVER_FOUND_OTHER mean?,ELICIT-INFORM,46,FOL,concepts,ssh_is_server_known,
34,48,Apiza,"It looks like SSH_SERVER_FOUND_OTHER indicates that ""The host key for this server was not found but an other type of key exists.""",INFORM,47,POS,concepts,ssh_is_server_known,
35,49,Programmer,What are the possible types of SSH keys?,ELICIT-INFORM,48,FOL,,ssh_is_server_known,
36,50,Apiza,It looks like there are several possible SSH keys.,INFORM,49,PART,,ssh_is_server_known,
36,51,Apiza," Some examples are ""ssh-rsa,ssh-dss,ecdh-sha2-nistp256"".",INFORM,50,CONT,,ssh_is_server_known,
37,52,Programmer,How do I determine which type of SSH key exists?,ELICIT-OFFER-OR-SUGGESTION,51,FOL,patterns,,
38,53,Apiza,"The function ""ssh_get_publickey_hash()"" may be useful.",SUGGEST,52,POS,basic,ssh_get_publickey_hash,
38,54,Apiza, It Allocates a buffer with the hash of the public key.,INFORM,53,CONT,patterns,ssh_get_publickey_hash,
39,55,Programmer,Is there a libssh function to get the location of the public key file?,ELICIT-INFORM,54,FOL,patterns,,
40,56,Apiza,I'm not sure about that.,INFORM,55,UNC,,,
40,57,Apiza,I was able to find that the known host file is in ~/.ssh/known_hosts on Unix.,INFORM,55,PART,structure,,
41,58,Programmer,What's 1 + 1?,ELICIT-INFORM,,,,,
42,59,Apiza,2,INFORM,58,POS,,,
43,60,Programmer,What port does libssh default to?,ELICIT-INFORM,,,functionality,libssh,
44,61,Apiza,Default is port 22,INFORM,60,POS,functionality,libssh,
45,62,Programmer,What values does ssh_userauth_password return?,ELICIT-INFORM,,,functionality basic,ssh_userauth_password,
46,63,Apiza,ssh_userauth_password() returns an int:\n\n,INFORM,62,POS,basic,ssh_get_publickey_hash,
46,64,Apiza,"SSH_AUTH_ERROR: A serious error happened.\nSSH_AUTH_DENIED: Authentication failed: use another method\nSSH_AUTH_PARTIAL: You've been partially authenticated, you still have to use another method\nSSH_AUTH_SUCCESS: Authentication success\nSSH_AUTH_AGAIN: In nonblocking mode, you've got to call this again later.",INFORM,63,CONT,functionality,ssh_get_publickey_hash,
47,65,Programmer,What are the commonly used functions taking ssh_channel as a parameter?,ELICIT-INFORM,,,structure,ssh_channel,
48,66,Apiza,"There are a lot of common functions that take ssh_channel as a parameter,",INFORM,65,POS,structure,ssh_channel,
